disease,overview ,causes,symptoms ,precautions ,home_treatment ,awareness ,who_guidelines
Coronary Artery Disease,"The most common type of heart disease. It develops when the major blood vessels that supply the heart with blood, oxygen, and nutrients (coronary arteries) become damaged or diseased.","Caused by a buildup of cholesterol-containing deposits (plaque) in the arteries, a condition called atherosclerosis. This narrows the arteries and reduces blood flow to the heart. Risk factors include high cholesterol, high blood pressure, diabetes, and smoking.","The most common symptom is chest pain (angina). Other symptoms can include shortness of breath and fatigue. For many, a heart attack is the first sign of the disease.","A heart-healthy lifestyle is the best precaution: don't smoke, eat a balanced diet low in saturated fat and salt, exercise regularly, maintain a healthy weight, and manage blood pressure, cholesterol, and diabetes.","DISCLAIMER: This is a serious medical condition requiring lifelong management by a doctor. Home care involves strictly adhering to the prescribed lifestyle changes and medications. This includes preparing heart-healthy meals, engaging in regular physical activity as approved by your doctor, and managing stress.","CAD is a leading cause of death worldwide. It is a chronic disease that requires long-term management with lifestyle changes and medications to prevent a heart attack, heart failure, or other complications.","WHO's primary strategy to combat CAD is through the prevention and control of non-communicable diseases (NCDs). This involves tackling risk factors like tobacco use, unhealthy diet, physical inactivity, and harmful use of alcohol on a global scale."
Cough,"A cough is a spontaneous and important reflex that acts to clear irritants, germs, and mucus from the airways and lungs. It is a common symptom of various conditions, ranging from simple viral infections to serious chronic diseases. An occasional cough is normal, but a cough that persists for more than 8 weeks is classified as **Chronic** and requires medical investigation.","Coughs are categorized by duration:\n- **Acute Cough** (lasting less than 3 weeks): Most commonly due to **Upper Respiratory Tract Infections** (common cold, flu, viral laryngitis), or **Lower Respiratory Tract Infections** (bronchitis, pneumonia).\n- **Chronic Cough** (lasting more than 8 weeks): Often caused by underlying chronic conditions, the 'big three' causes being: **Post-Nasal Drip** (now often termed Upper Airway Cough Syndrome or UACS), **Asthma** (or non-asthmatic eosinophilic bronchitis), and **Gastroesophageal Reflux Disease (GERD)**. Other causes include smoking, certain medications (like ACE inhibitors), and chronic lung diseases (COPD).","Coughs can be **Productive** (bringing up phlegm/mucus) or **Dry/Nonproductive** (without mucus).\n- **Common:** Tickly or scratchy throat, a forceful push of air.\n- **Warning Signs (Seek urgent help):** Coughing up **blood** or bloody phlegm, **difficulty breathing** or **wheezing**, a **barking or whooping** sound, fever that lasts more than a couple of days, severe chest pain, or vomiting due to coughing fits.","Avoid respiratory irritants like **tobacco smoke** (firsthand and secondhand), dust, and strong fumes. **Wash hands frequently** and practice good respiratory hygiene (covering mouth/nose when coughing/sneezing) to prevent the spread of infections. Stay up to date with **vaccinations** (flu, COVID-19). Avoid sharing cups or utensils with sick people.","Mix equal amounts of honey and ginger (adrak) juice. For better results warm the mixture a little & then have it. Have 1 teaspoon, 2-3-4 times a day. Three pepper corns (saboot kali mirch) sucked with a pinch of black cumin (shah jeera) and a pinch of salt gives relief. Mix 1 teaspoon pepper powder with 4 teaspoon gur (jaggery). Make small balls. Suck 3-4 balls/tablets during the day. Mix equal amounts of pepper powder and sugar candy (mishri) by weight. Mix enough pure ghee to form small balls. Suck one ball/tablet 3-4 times a day. Avoid - curd, bananas, ice, rice fried and cold foods. 1 teaspoon of basil (tulsi) leaves juice 2-3 times a day for children. Tulsi leaves can be crushed to a paste and the paste squeezed through a clean muslin cloth to get juice. Mix a pinch of turmeric (haldi) with warm 1 cup milk and have at night.","A cough is the body's protective reflex, but a cough that lasts for an unusually long time (over 8 weeks) is often a sign of a treatable underlying problem and should be thoroughly investigated. For children, cold/cough remedies are generally **not recommended** due to risk of side effects and overdose. Any cough accompanied by difficulty breathing, chest pain, or blood requires **immediate medical attention**.","The WHO focuses on reducing the incidence of acute respiratory infections (ARIs), particularly in children. They recommend symptomatic therapies for the common cold (rest, fluids, soothing agents) but advise **against the routine use of over-the-counter cough and cold remedies** due to lack of evidence for efficacy and potential for toxicity, especially in young children. They stress that antibiotics should only be used if a more serious bacterial infection is suspected."
Crohn’s Disease,"A type of inflammatory bowel disease (IBD) that causes chronic inflammation of the digestive tract. It can affect any part of the GI tract from the mouth to the anus, but most commonly affects the end of the small intestine and the colon.",The exact cause is unknown but is believed to be an autoimmune reaction where the body's immune system attacks the gut. Genetics and environmental factors play a role.,"Symptoms can include persistent diarrhea, abdominal cramps and pain, rectal bleeding, fever, fatigue, and weight loss. Symptoms can range from mild to severe and occur in flare-ups.","The cause is not known, so prevention is not possible. Avoiding smoking is important as it is a major risk factor for developing Crohn's and can worsen the disease.","DISCLAIMER: Crohn's is a chronic disease requiring medical management. Home care focuses on managing symptoms during flares and maintaining remission. During a flare, eating soft, bland foods may help. Keeping a food diary to identify personal trigger foods. Managing stress through techniques like meditation or yoga.","Crohn's disease is a lifelong condition with periods of remission and relapse. There is no cure, but treatments (medications and sometimes surgery) can greatly reduce inflammation and control symptoms.","WHO classifies Crohn's disease as a significant non-communicable digestive disease. Their focus is on strengthening health systems to provide long-term, integrated care for patients with chronic conditions."
Cryptococcosis,"Cryptococcosis is a potentially life-threatening fungal infection caused by breathing in microscopic spores of the *Cryptococcus* fungus. While it can infect the lungs, it is most dangerous when it spreads through the bloodstream to the brain, causing cryptococcal meningitis. The disease primarily affects people with weakened immune systems, and it is a leading cause of death among people with advanced HIV/AIDS.","The infection is caused by the fungi *Cryptococcus neoformans* and *Cryptococcus gattii*. These fungi are found in the natural environment, typically in soil that is contaminated with bird droppings, especially from pigeons. A person gets infected by inhaling the airborne fungal spores. The disease is not contagious and does not spread from person to person.","Symptoms depend on the part of the body that is infected. In the lungs (pulmonary cryptococcosis), symptoms can be mild and include cough, shortness of breath, and fever. When the infection spreads to the brain (cryptococcal meningitis), symptoms are severe and include a persistent headache, fever, stiff neck, nausea, vomiting, sensitivity to light, and confusion or behavioral changes.","For healthy individuals, no special precautions are needed. However, people with compromised immune systems (e.g., those with advanced HIV, organ transplant recipients) should try to avoid exposure to areas with a high concentration of bird droppings, such as old buildings, construction sites, or parks where pigeons gather. For people with HIV, the most important preventive measure is adhering to antiretroviral therapy (ART) to maintain a strong immune system.","There is NO home treatment for cryptococcosis. It is a serious medical emergency that requires hospitalization and aggressive treatment with prescription intravenous (IV) and oral antifungal medications, often for a long duration. Any 'home care' is strictly post-hospitalization and involves meticulously following the long-term antifungal medication plan prescribed by a doctor to prevent a relapse.","It's crucial to understand that while the *Cryptococcus* fungus is common in the environment, it rarely causes illness in people with healthy immune systems. The primary risk is for immunocompromised individuals. For this group, any new onset of a severe headache, stiff neck, or confusion should be treated as a medical emergency to rule out cryptococcal meningitis, as early diagnosis and treatment are critical for survival.","The World Health Organization (WHO) has specific guidelines for managing cryptococcal disease, recognizing it as a major opportunistic infection and cause of death in people with advanced HIV disease. WHO recommends screening for the cryptococcal antigen in HIV-positive adults with a low CD4 count (<200 cells/µL) to detect the infection before meningitis develops. Their treatment guidelines detail a phased approach using specific antifungal medicines (Amphotericin B, flucytosine, and fluconazole) for induction, consolidation, and maintenance therapy."
Cushing Syndrome,A condition that occurs from exposure to high levels of the hormone cortisol for a long time.,"The most common cause is the long-term use of high-dose corticosteroid medications. It can also be caused by the body overproducing cortisol, due to a tumor on the pituitary gland or an adrenal gland.","Weight gain and fatty deposits, particularly around the midsection and upper back, in the face (moon face), and between the shoulders (buffalo hump). Other symptoms include pink or purple stretch marks, thinning skin that bruises easily, and high blood pressure.","If the cause is long-term steroid use, precautions include using the lowest effective dose for the shortest possible time under a doctor's supervision.","DISCLAIMER: Cushing syndrome requires a medical diagnosis and treatment of the underlying cause. Home care is supportive. Following a nutritious, balanced diet that is low in sodium and sugar to help control weight gain and blood pressure, as advised by your doctor.","Treatment depends on the cause and aims to lower the high levels of cortisol in the body. This may involve gradually reducing steroid medication, surgery, or radiation.","WHO's list of essential medicines includes corticosteroids, but they also promote guidelines on their rational use to minimize adverse effects like iatrogenic (medication-induced) Cushing syndrome."
Cystic Fibrosis,"A progressive, genetic disease that causes persistent lung infections and limits the ability to breathe over time.","Caused by a mutation in the CFTR gene. This gene provides instructions for a protein that controls the movement of salt and water in and out of your body's cells. In people with CF, the protein does not work correctly, causing thick, sticky mucus and salty sweat.","Symptoms include a persistent cough with thick mucus, frequent lung infections, wheezing or shortness of breath, poor growth or weight gain despite a good appetite, and frequent greasy, bulky stools.","CF is a genetic disease and cannot be prevented. Genetic screening for carriers can be done for couples planning a family, especially if there is a family history of the disease.","DISCLAIMER: CF is a complex, lifelong disease requiring specialized medical care. Home management is a critical part of the treatment plan. This includes daily airway clearance techniques to remove mucus, taking pancreatic enzyme supplements with meals, and following a high-calorie, high-fat diet.","Great strides have been made in treating CF, and people with the condition are now living much longer lives. Management is complex and involves a team of healthcare professionals.","WHO recognizes cystic fibrosis as a serious genetic disorder. They support the development of national programs for the prevention and management of genetic diseases, including newborn screening programs which allow for early diagnosis and treatment."
Dandruff,"A common scalp condition where the skin on the scalp flakes off. It's not contagious or a sign of poor hygiene, but it can be embarrassing.","The exact cause is unclear but is linked to a common fungus called Malassezia, oily or irritated skin, dry skin, and sensitivity to hair care products.","White or yellowish flakes on hair and shoulders, itchy scalp, scaly or red patches on the scalp.",Regular shampooing with a medicated anti-dandruff shampoo containing ingredients like zinc pyrithione or selenium sulfide. Managing stress and avoiding harsh hair products can also help.,Soak 2 tablespoon fenugreek seeds (methi dana) in water overnight. In the morning grind into a fine paste. Apply all over scalp and leave for ½ an hour. Wash with Shikakai or mild shampoo. Boil a handful of neem leaves in 4 teacups of water. After cooling and filtering use for rinsing hair Dehydration due to diarrhoea Soak half a nutmeg (jaiphal) in 2 cups water for over 2-3 hours. Take 1 teaspoon of this infusion and mix in 1 cup fresh coconut water. Drink twice or thrice a day.,"Dandruff is a manageable cosmetic issue, not a serious medical illness. If over-the-counter treatments fail or the scalp is very inflamed, a dermatologist should be consulted.","WHO does not issue specific global guidelines for dandruff as it is a non-communicable, non-life-threatening condition. General recommendations on skin health emphasize hygiene and professional care for persistent issues."
Deafness,"Hearing loss, ranging from mild to profound, which can affect one or both ears. It impacts communication and can lead to social isolation.","Congenital causes, chronic ear infections, exposure to excessive noise, aging (presbycusis), head injury, and certain medications or diseases like meningitis.","Difficulty understanding words, especially in noise; needing to turn up the volume of TV/radio; muffled sounds; ringing in the ears (tinnitus).","Avoiding exposure to loud noises by using hearing protection, prompt treatment for ear infections, and getting vaccinated against diseases like measles and meningitis.",Use raw onion juice as ear drops. Put two drops of lukewarm neem oil inside the ear.,"Over 5% of the world's population has disabling hearing loss. Early detection, especially in children, is crucial. With hearing aids, cochlear implants, and sign language, people can live full lives.","WHO promotes ear and hearing care through its 'World Report on Hearing'. It focuses on prevention (e.g., safe listening), early screening, and improving access to affordable, high-quality hearing technology and support services."
Dehydration,"A condition where the body loses more fluid than it takes in, preventing normal bodily functions. It can range from mild to life-threatening.","Not drinking enough water, excessive sweating, severe diarrhea, vomiting, fever, or increased urination (due to diabetes or certain medications).","Thirst, dark-colored urine, dry mouth, fatigue, dizziness, confusion. In infants, a sunken soft spot (fontanel) on the head is a key sign.","Drink plenty of fluids (especially water) throughout the day, particularly in hot weather or when exercising. Increase fluid intake during illness, especially with fever, vomiting, or diarrhea.","Add ¼ teaspoon salt, 3 teaspoon brown sugar or ordinary sugar and 2 teaspoon lime juice to 1 cup of water, mix well and drink.",Thirst is an early warning sign. Don't wait until you're thirsty to drink. Dehydration is especially dangerous for young children and older adults. Severe dehydration is a medical emergency.,"WHO strongly advocates for Oral Rehydration Salts (ORS) solution to treat dehydration from diarrhea. This simple mixture of clean water, salt, and sugar is credited with saving millions of lives, particularly children."
Delivery Of Babies,"Known as childbirth, it is the process of a baby leaving the uterus. It can occur vaginally or through a surgical procedure called a caesarean section.","It is the natural conclusion of a full-term pregnancy, initiated by hormonal signals that cause the uterus to contract and push the baby out.","Signs of labor include regular, strengthening contractions; a ""bloody show"" (mucus plug); lower back pain; and the rupture of the amniotic sac (""water breaking"").",Consistent prenatal care throughout pregnancy is the most important precaution to monitor maternal and fetal health and prepare for a safe delivery.,"Mix 3 teaspoon lime juice, ¼ teaspoon powdered black pepper and 1 teaspoon honey in 1 cup water. Drink for 3 months.","Access to skilled care from a doctor, nurse, or midwife during childbirth is critical to prevent maternal and newborn deaths. A positive childbirth experience is important for the mother's well-being.","WHO's vision is that ""every pregnant woman and newborn receives quality care"". They provide evidence-based guidelines to ensure safe and respectful maternity care, promoting natural labor and reducing unnecessary medical interventions."
Dengue Fever,"A mosquito-borne viral infection found in tropical and sub-tropical climates worldwide, mostly in urban and semi-urban areas.",Caused by one of four related dengue viruses. It is spread by the bite of an infected female Aedes aegypti mosquito. The mosquito gets the virus by biting an infected person.,"High fever, severe headache, severe pain behind the eyes, joint and muscle pain, fatigue, nausea, vomiting, and a skin rash. A more severe form, dengue hemorrhagic fever, can be fatal.","The only way to prevent dengue is to avoid being bitten by mosquitoes. Use insect repellent, wear protective clothing, sleep under a mosquito net, and eliminate mosquito breeding sites by removing standing water.","DISCLAIMER: Dengue requires medical monitoring. Seek medical advice if you suspect you have dengue. Home care focuses on symptom relief. Get plenty of rest, drink lots of fluids (water, ORS) to prevent dehydration, and take paracetamol to reduce fever and pain. Do NOT take aspirin or ibuprofen.","Most people recover within a week or so. However, some people develop severe dengue, which is a medical emergency requiring hospitalization. Warning signs include severe abdominal pain, persistent vomiting, and bleeding.","WHO's global strategy for dengue prevention and control aims to reduce mortality by 50% and morbidity by 25% by 2020. This focuses on integrated vector management, surveillance, and case management."
Dental Problems,"A broad term for conditions affecting the teeth, gums, and mouth, including tooth decay (cavities), gum disease (gingivitis), and infections.","Poor oral hygiene that allows plaque (a bacterial film) to build up, combined with a sugary diet, tobacco use, and lack of regular dental check-ups.","Toothache, bleeding or swollen gums, pain when chewing, persistent bad breath, sensitivity to hot or cold, loose teeth.","Brush teeth twice daily with fluoride toothpaste, floss once a day, limit sugary foods and drinks, avoid tobacco, and see a dentist regularly for cleanings and check-ups.","Turmeric (haldi), burnt, and finely powdered, can be used as toothpowder.",Oral health is a window to your overall health. Many dental problems are preventable. Untreated gum disease is linked to other serious conditions like heart disease and diabetes.,"WHO considers oral diseases a major public health problem. Its strategy focuses on integrating oral health into primary care, promoting fluoride use, and advocating for policies that reduce sugar consumption."
Depression,"A serious mood disorder that causes a persistent feeling of sadness and a loss of interest in activities. It affects how you feel, think, and behave.","A complex mix of genetic, biological, environmental, and psychological factors. Brain chemistry, stressful life events, and family history can all contribute.","Persistent low mood, loss of pleasure, changes in sleep or appetite, fatigue, feelings of worthlessness, difficulty concentrating, and thoughts of self-harm.","While not fully preventable, managing stress, maintaining a healthy lifestyle, building strong social connections, and seeking early help for mental health concerns can reduce risk.",Boil ¼ teaspoon powdered cardamom (chhoti illaichi) seeds in thin tea water and drink. Mix 1/8 teaspoon nutmeg (jaiphal) powder with 1 tablespoon freshly extracted amla juice. Take 3 times a day.,"Depression is a treatable medical illness, not a sign of personal weakness. Stigma prevents many from seeking help. Talking openly and seeking professional support is key to recovery.",WHO recognizes depression as a leading cause of disability worldwide. Their Mental Health Action Plan advocates for integrating mental health services into primary care to improve access to evidence-based psychological therapies and medication.
Dermatitis,"A general term for inflammation of the skin. It can have many causes and occurs in many forms. It usually involves an itchy rash on swollen, reddened skin.","Common types include atopic dermatitis (eczema), which is linked to genetics and allergies; contact dermatitis, caused by direct contact with an irritant or allergen; and seborrheic dermatitis (dandruff).","Itchy, dry skin or a rash on swollen, reddened skin. The skin may blister, ooze, crust, or flake off. The appearance varies depending on the type of dermatitis.","For contact dermatitis, identify and avoid the substance that causes the reaction. For eczema, keep skin well-moisturized and avoid known triggers. Use gentle, fragrance-free soaps and laundry detergents.","DISCLAIMER: A doctor can help identify the type and best treatment. For general relief, apply cool, wet compresses to the affected skin. Take a cool bath with baking soda or oatmeal. Use over-the-counter hydrocortisone cream for itching. Keep skin moisturized. Avoid scratching.","Dermatitis is a common condition that is not contagious. While it can be uncomfortable and persistent, it is manageable with proper skincare and medical treatment.",WHO does not have specific programs for dermatitis itself but includes it under the broad category of skin diseases. They promote access to basic dermatological care within primary health systems.
Diabetes,"A chronic disease that occurs when the pancreas does not produce enough insulin or when the body cannot effectively use the insulin it produces, leading to high blood sugar.",Type 1 is an autoimmune condition. Type 2 (most common) is linked to genetics and lifestyle factors like obesity and physical inactivity. Gestational diabetes occurs in pregnancy.,"Frequent urination, increased thirst, constant hunger, unexplained weight loss, fatigue, blurred vision. Many people with Type 2 have no initial symptoms.","Maintaining a healthy weight, regular physical activity, and a balanced diet can prevent or delay Type 2 diabetes. Management involves diet, exercise, blood sugar monitoring, and medication.","For diabetes, diet restriction & light exercise like walking is a must as this controls the sugar level. Grape fruit is a splendid thing in the diet of a diabetic. Have 3 fruits at a time, 3 times daily. A tablespoon of amla juice mixed with a cup of fresh bitter gourd (karela ) juice and taken daily for 2 months will reduce blood sugar. Take dry tender leaves of the mango tree in the shade. Powder and preserve them. Half a teaspoon of this powder twice a day in the morning and evening proves beneficial. 3-4 teaspoons juice of bitter gourd (karela), taken every morning on an empty stomach gives good results. Coarsely powder fenugreek seeds (methi dana) and have 1-2 teaspoon in the morning everyday. (Vary dosage according to individual tolerance level). Eating 10 fresh fully grown curry leaves (kari patta) every morning for 3 months is said to prevent diabetes due to heredity factors. Soak 2 teaspoon fenugreek seeds (methi dana) in 1 cup water at night. Drink this water first thing in the morning and preferably eat the seeds too. Chew 8-10 basil (tulsi) leaves in the morning.","Diabetes is a global epidemic. If unmanaged, it can lead to severe complications like heart attack, stroke, kidney failure, and blindness. Early diagnosis and lifestyle changes are critical.",WHO's Global Diabetes Compact aims to improve prevention and access to care. It sets targets to reduce obesity and ensure 80% of people with diabetes are diagnosed and have good control of their blood pressure and glucose levels.
Diabetes Insipidus,"A rare disorder that causes an imbalance of fluids in the body. This imbalance leads to intense thirst even after drinking, and the excretion of large amounts of urine.","Caused by problems with a hormone called vasopressin (antidiuretic hormone or ADH). It can result from damage to the pituitary gland or hypothalamus, a defect in the kidneys' response to ADH, or during pregnancy. It is NOT related to diabetes mellitus.","The main symptoms are extreme thirst (polydipsia) and passing large volumes of pale, diluted urine (polyuria), often needing to urinate frequently, including throughout the night.",Most types of DI cannot be prevented. Preventing head injuries can reduce the risk of the central type.,DISCLAIMER: This condition requires a medical diagnosis and treatment plan. The most important part of home management is to drink enough water to prevent dehydration. The doctor will prescribe medication (like desmopressin) to control the condition.,"While the name is similar, diabetes insipidus is completely different from diabetes mellitus (the common form of diabetes related to blood sugar). With treatment, DI can be well-managed.",WHO does not have specific guidelines for this rare disorder. It is managed within the field of endocrinology. WHO's work on strengthening health systems helps ensure that people with rare diseases can access the specialized diagnostic tests and treatments they need.
Diabetic Ketoacidosis,"A serious, life-threatening complication of diabetes that occurs when your body produces high levels of blood acids called ketones. It develops when your body can't produce enough insulin.","Most often occurs in people with type 1 diabetes. It can be triggered by an illness or infection, a problem with insulin therapy (e.g., a missed dose or pump failure), or undiagnosed diabetes.","Symptoms develop quickly and include excessive thirst, frequent urination, nausea and vomiting, abdominal pain, weakness, fruity-scented breath, and confusion.","For people with diagnosed diabetes, the key is good diabetes management: monitor blood sugar regularly, take insulin as directed, and have a ""sick day plan"" from your doctor for how to manage your diabetes when you are ill.","DISCLAIMER: DKA is a medical emergency requiring immediate hospitalization. There are NO home treatments. If you have diabetes and your blood sugar is high with ketones present in your urine, seek emergency medical care.","DKA can lead to a diabetic coma or death if not treated promptly. Treatment involves intravenous fluids to correct dehydration, insulin to lower blood sugar, and replacement of electrolytes.",WHO's Global Diabetes Compact and other diabetes programs emphasize patient education as a cornerstone of diabetes management. This includes teaching people how to monitor their blood sugar and ketones and when to seek emergency care to prevent complications like DKA.
Diabetic Retinopathy,A diabetes complication that affects the eyes. It's caused by damage to the blood vessels of the light-sensitive tissue at the back of the eye (retina).,"Caused by long-term high blood sugar levels from diabetes, which damage the small blood vessels in the retina. High blood pressure and high cholesterol also contribute to the risk.","Early stages may have no symptoms. As it progresses, symptoms can include spots or dark strings floating in your vision (floaters), blurred vision, fluctuating vision, and vision loss.","The most important precaution is strict management of diabetes: keep blood sugar, blood pressure, and cholesterol levels under control. Get a comprehensive dilated eye exam at least once a year.",DISCLAIMER: This condition requires management by an ophthalmologist. Home care is about prevention and slowing progression. Tightly controlling your blood sugar and blood pressure as prescribed by your doctor. Not smoking.,Diabetic retinopathy is a leading cause of blindness in working-age adults. Early detection and treatment can significantly reduce the risk of vision loss.,WHO recognizes diabetic retinopathy as a major cause of preventable blindness. Their programs for diabetes care emphasize the importance of integrating regular eye screenings into routine diabetes management to allow for timely treatment.
Diaper Rash,A common form of inflamed skin (dermatitis) that appears as a patchwork of bright red skin on a baby's bottom.,"Usually caused by prolonged contact with wet or soiled diapers. The moisture, friction from the diaper, and irritation from urine and stool break down the skin's protective barrier. It can also be caused by a yeast infection.","Red, tender-looking skin in the diaper region — buttocks, thighs, and genitals. The baby may seem more fussy than usual, especially during diaper changes.",Change wet or dirty diapers promptly. Clean the diaper area gently with water or mild wipes. Pat the skin dry or allow it to air dry. Apply a thick layer of a barrier cream (with zinc oxide or petroleum jelly) at each diaper change. Allow for some diaper-free time.,"DISCLAIMER: Most diaper rash can be treated at home. If the rash is severe, doesn't improve in a few days, or has blisters or open sores, see a doctor. Following the preventative measures above is the best treatment.","Diaper rash is very common and usually not serious. With good home care, it typically clears up within a few days. If it persists, it may be complicated by a fungal or bacterial infection that needs medical treatment.","WHO's guidelines for newborn and infant care promote practices that prevent skin problems, including keeping the baby clean and dry."
Diarrhea due to indigestion of food,"Loose, watery stools caused by the digestive system's inability to properly break down certain foods.","Eating foods one is intolerant or sensitive to (e.g., lactose, gluten), overeating, or consuming rich, spicy, or fatty foods that irritate the digestive system.","Abdominal cramps, bloating, gas, and loose stools that occur shortly after eating the trigger food.","Identify and avoid personal food triggers. Eat smaller, more frequent meals. Avoid lying down immediately after eating.",Insert ¼ teaspoon nutmeg (jaiphal) powder inside a ripe banana and eat. Dog-bite Take ½ teaspoon powder of black cumin seeds (shah jeera) twice daily.,This is usually a temporary issue that resolves on its own. It's important to distinguish it from infectious diarrhea. Keeping a food diary can help identify problematic foods.,"WHO guidelines focus on infectious diarrhea, but the management principle of maintaining hydration is universal. For indigestion-related issues, general health advice emphasizes a balanced diet."
Diarrhoea,"The passage of three or more loose or liquid stools per day. It is a symptom of an infection in the intestinal tract, which can be caused by various bacterial, viral, and parasitic organisms.","Infection from contaminated food or drinking water, or from person to person as a result of poor hygiene. Rotavirus and E. coli are common causes.","Loose, watery stools; abdominal cramps; fever; nausea; vomiting; and an urgent need to use the toilet. Dehydration is the main danger.","Practice good hygiene, especially handwashing with soap. Ensure access to safe drinking water and proper sanitation. Food safety practices are essential.","Combine 1 teaspoon each powdered ginger (adrak), powdered cumin (jeera) and powdered cinnamon (dalchini) with honey and make into a thick paste. Take 1 teaspoon thrice daily. Boil 1 teaspoon cumin seeds (jeera) in a glass of water. Add to this 1 teaspoon fresh juice of coriander leaves (dhania) and a pinch of salt. Drink twice daily after meals for 2-3 days. Mash 1 ripe banana along with a pinch of salt and 1 teaspoon tamarind pulp (imli ka guda). Take twice a day. Drinking a strong cup of unsweetened black tea is very effective for stopping diarrhoea. Peel an apple and shred it. Keep the shredded pieces in a plate for approximately 20 minutes until they turn brown in colour, and then eat them. Slice the tender unripe bel fruit. Sun dry them. Powder the slices. Take 1 teaspoon along with warm water twice a day. Take every night, 3 cloves of garlic (lasan), chopped and boiled in milk. Make a paste of 1 green chilli along with 2 tablespoon lime juice and ½ teaspoon camphor (kapur). Take ¼ teaspoon of this paste. 2 or 3 teaspoon coriander seeds (saboot dhania) soaked overnight in water and taken next morning with 1 cup buttermilk (chhach). Boil ¼ teaspoon powdered cardamom (chhoti illaichi) seeds in thin tea water and drink. Mix juice of 15-20 tender curry leaves (curry patta) with 1 teaspoon honey and drink. Apply ginger (adrak) juice around the navel. Insert ¼ teaspoon nutmeg (jaiphal) powder inside a ripe banana and eat.","Diarrhea is a leading cause of child mortality globally. The most severe threat posed by diarrhea is dehydration. Access to clean water, sanitation, and hygiene (WASH) is the most effective prevention.","WHO's primary recommendation is to prevent and treat dehydration with Oral Rehydration Salts (ORS) and zinc supplements. They also promote breastfeeding, immunizations (especially for rotavirus), and improving water and sanitation."
Diphtheria,A serious bacterial infection that usually affects the mucous membranes of the nose and throat.,"Caused by the bacterium Corynebacterium diphtheriae. It spreads from person to person, usually through respiratory droplets from a cough or sneeze.","A thick, gray membrane covering the throat and tonsils is the classic sign. Other symptoms include a sore throat, swollen glands in the neck, weakness, and fever. The bacteria produce a toxin that can damage the heart, nerves, and kidneys.",The most effective precaution is vaccination. The diphtheria vaccine is part of the routine childhood immunization schedule (usually combined with tetanus and pertussis - DTaP).,DISCLAIMER: Diphtheria is a medical emergency requiring immediate hospitalization and treatment with antitoxin and antibiotics. There are NO home treatments.,"Diphtheria can be fatal, even with treatment. The toxin can cause life-threatening complications. Vaccination is the key to prevention.",WHO's Expanded Programme on Immunization (EPI) has made the diphtheria vaccine a standard part of routine childhood immunizations globally. This has dramatically reduced the incidence of the disease worldwide.
Diverticulitis,"A condition where small, bulging pouches (diverticula) that can form in the lining of the digestive system, usually in the colon, become inflamed or infected.","The inflammation or infection occurs when the pouches get blocked with waste, allowing bacteria to build up. The reason the pouches (diverticulosis) form in the first place is thought to be related to a long-term low-fiber diet.","The most common symptom is persistent, severe abdominal pain, usually in the lower left side. Other symptoms include fever, nausea, vomiting, and a change in bowel habits.","To help prevent the formation of diverticula, eat a high-fiber diet rich in fruits, vegetables, and whole grains. Drink plenty of water and exercise regularly.","DISCLAIMER: Acute diverticulitis requires medical treatment, often with antibiotics. During an acute attack, a doctor may recommend a clear liquid diet for a few days to let the colon rest, followed by a gradual return to a high-fiber diet after recovery.",Mild diverticulitis can be treated with rest and antibiotics. Severe or recurrent cases may require hospitalization or surgery. A high-fiber diet is recommended after recovery to prevent future flare-ups.,"WHO promotes healthy diets, including adequate fiber intake, as part of its strategy to prevent non-communicable diseases. This dietary advice also serves as a primary prevention strategy for diverticular disease."
Down Syndrome,A genetic condition in which a person is born with an extra copy of chromosome 21. This extra genetic material causes the developmental changes and physical features of Down syndrome.,"It is a naturally occurring chromosomal arrangement that is not caused by anything the parents did before or during pregnancy. The risk increases with the mother's age, but most babies with Down syndrome are born to younger mothers because of higher birth rates in this group.","Common physical traits include a flattened face, almond-shaped eyes that slant up, a short neck, and small hands and feet. All people with Down syndrome experience some degree of cognitive delays, but the level of intellectual disability varies.",Down syndrome is a genetic condition and cannot be prevented. Prenatal screening can detect the likelihood of the condition during pregnancy.,"DISCLAIMER: Down syndrome is a lifelong condition, not an illness to be treated at home. Home life should focus on providing a stimulating and supportive environment, early intervention services (speech, occupational, physical therapy), and inclusive education to help the individual reach their full potential.","People with Down syndrome can live full and productive lives. Early intervention and inclusive support make a significant difference. They have an increased risk for certain medical conditions, such as heart defects and hearing problems, so regular medical care is important.","WHO works to ensure that people with developmental disabilities, including Down syndrome, have access to the health services, education, and social support they need to achieve their full potential and enjoy their human rights."
